Tenure Months,Monthly Charges,Total Charges,Churn Value,Gender_Male,Senior Citizen_Yes,Partner_Yes,Dependents_Yes,Phone Service_Yes,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Paperless Billing_Yes,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Average Monthly Spend,Total Services,Is New Customer,High Monthly Charges,Charge per Tenure
-1.2367242199587352,-0.3626603559551803,-0.9596740712020441,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.41175533927329044,3,1,0,1.3964241971165443
-1.2367242199587352,0.19736523310080326,-0.9404697022531111,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.17411038285221409,1,1,1,2.0404032218840493
-0.9924020376385531,1.1595456961969886,-0.6451859741727949,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.49156865024912266,4,1,1,0.607852453632696
-0.1779947632379461,1.330710787214099,0.3373492744317471,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0.7188808077326675,5,0,1,-0.24729388052853946
0.6771328748826912,1.2941512532104444,1.2160043388136705,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.6482395022087462,5,0,1,-0.42383888843993717
-0.9109613101984924,-0.31779183695069496,-0.774164281952812,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.21538163860684623,3,1,0,-0.08627366541128198
-1.2774445836787656,-0.8346107040023594,-0.9899154337997889,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-0.6776718508548053,2,1,0,1.6114023582036194
-1.2774445836787656,-1.4827115340671475,-0.9985242888458623,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,-0.8374675974138048,1,1,0,0.4935159205508293
0.5956921474426305,1.1495749141959914,1.0892334297634156,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.6189784426176924,4,0,1,-0.4243213949792659
-1.2774445836787656,-1.1486903370337564,-0.9940874173990399,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7551113280333973,1,1,0,1.0696573922641903
-0.62591876415828,-0.0020504069191315333,-0.5248385954261489,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,-0.007303654820255672,3,0,0,-0.24951230139901656
-1.1145631287986442,0.16412929309748078,-0.8675151742344638,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.13696128621627587,1,1,0,0.6702757418890911
0.06632741908223598,1.3822264942192488,0.559501882595035,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0.6594029618364871,5,0,1,-0.3132459327325139
-0.8702409464784621,1.099721004191008,-0.5194083945509333,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.5071384922215381,4,1,1,0.27328273774829254
-1.2367242199587352,0.5280628361338618,-0.9437808003477547,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-0.21508365120067552,2,1,1,2.420675702384742
-0.7073594915983407,1.141265929195161,-0.3776933961001872,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0.45851688044803046,5,0,1,0.04851112710058406
-0.9924020376385531,0.5280628361338618,-0.7278309826150992,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.15067105758992336,2,1,1,0.36580296855687827
-0.5851984004382496,1.0199547481830342,-0.2337047769577859,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.5091512141754974,3,0,1,-0.08564278851112218
-0.9516816739185228,0.9850570111795457,-0.6289615935090412,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.4023835028106381,3,1,1,0.4207099833293401
-1.2774445836787656,0.48485611412954227,-0.9723886878854755,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-0.3523441001680215,2,1,1,3.8873044902454534
-1.0331224013585834,0.34526516611558833,-0.7880488199630175,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.015390983259419922,2,1,1,0.41540718868919224
